class,           index,  aspect_ratio,,,     building_plan_area_fraction,,,  impervious_plan_area_fraction,,,  pervious_plan_area_fraction,,,  height_roughness_elements,,,  r,   g,   b
compact_highrise,     1,  2.00, 2.50, None,  0.40, 0.50, 0.60,               0.40, 0.45, 0.60,                 0.00, 0.05, 0.10,               25.0,  None, 75.00,            140,   0,   0
compact_midrise,      2,  0.75, 1.25, 2.00,  0.40, 0.55, 0.70,               0.30, 0.40, 0.50,                 0.00, 0.05, 0.20,               10.0,  None, 25.00,            209,   0,   0
compact_lowrise,      3,  0.75, 1.25, 1.50,  0.40, 0.55, 0.70,               0.20, 0.35, 0.50,                 0.00, 0.10, 0.30,                3.0,  None, 10.00,            255,   0,   0
open_highrise,        4,  0.75, 1.00, 1.25,  0.20, 0.30, 0.40,               0.30, 0.35, 0.40,                 0.30, 0.35, 0.40,               25.0,  None, 75.00,            191,  77,   0
open_midrise,         5,  0.30, 0.50, 0.75,  0.20, 0.30, 0.40,               0.30, 0.40, 0.50,                 0.20, 0.30, 0.40,               10.0,  None, 25.00,            255, 102,   0
open_lowrise,         6,  0.30, 0.50, 0.75,  0.20, 0.30, 0.40,               0.20, 0.35, 0.50,                 0.30, 0.35, 0.60,                3.0,  None, 10.00,            255, 153,  85
leightweight_lowrise, 7,  1.00, 1.50, 2.00,  0.60, 0.75, 0.90,               0.00, 0.10, 0.20,                 0.00, 0.15, 0.30,                2.0,  None,  4.00,            250, 238,   5
large_lowrise,        8,  0.10, 0.20, 0.30,  0.30, 0.40, 0.50,               0.40, 0.45, 0.50,                 0.00, 0.15, 0.20,                3.0,  None, 10.00,            188, 188, 188
sparsely_built,       9,  0.10, 0.15, 0.25,  0.10, 0.15, 0.20,               0.00, 0.10, 0.20,                 0.60, 0.75, 0.80,                3.0,  None, 10.00,            255, 204, 170
heavy_industry,      10,  0.20, 0.35, 0.50,  0.20, 0.25, 0.30,               0.20, 0.30, 0.40,                 0.40, 0.45, 0.50,                5.0,  None, 15.00,             85,  85,  85
dense_trees,         11,  1.00, 2.00, None,  0.00, 0.00, 0.10,               0.00, 0.00, 0.10,                 0.90, 1.00, 1.00,                3.0,  None, 30.00,              0, 106,   0
scattered_trees,     12,  0.50, 0.65, 0.80,  0.00, 0.00, 0.10,               0.00, 0.00, 0.10,                 0.90, 1.00, 1.00,                3.0,  None, 15.00,              0, 170,   0
bush_scrub,          13,  0.70, 0.80, 0.90,  0.00, 0.00, 0.10,               0.00, 0.00, 0.10,                 0.90, 1.00, 1.00,                0.0, 1.000,  2.00,            100, 133,  37
low_plants,          14,  0.90, 1.00, None,  0.00, 0.00, 0.10,               0.00, 0.00, 0.10,                 0.90, 1.00, 1.00,                0.0, 0.500,  1.00,            185, 219, 121
bare_rock_or_paved,  15,  0.90, 1.00, None,  0.00, 0.05, 0.10,               0.90, 0.90, 1.00,                 0.00, 0.05, 0.10,                0.0, 0.125,  0.25,              0,   0,   0
bare_soil_or_sand,   16,  0.90, 1.00, None,  0.00, 0.00, 0.10,               0.00, 0.00, 0.10,                 0.90, 1.00, 1.00,                0.0, 0.125,  0.25,            251, 247, 174
water,               17,  0.90, 1.00, None,  0.00, 0.00, 0.10,               0.00, 0.00, 0.10,                 0.90, 1.00, 1.00,                0.0, 0.000,  0.00,            106, 106, 205
