class,                vegetation_type, water_type, lai_summer, lai_winter 
compact_highrise,                  18,       None,        1.0,        0.1
compact_midrise,                   18,       None,        1.0,        0.1
compact_lowrise,                   18,       None,        1.0,        0.1
open_highrise,                     18,       None,        2.0,        0.5
open_midrise,                      18,       None,        2.0,        0.5
open_lowrise,                      18,       None,        2.0,        0.5
leightweight_lowrise,              18,       None,        1.0,        0.1
large_lowrise,                     18,       None,        0.5,        0.1
sparsely_built,                    18,       None,        2.0,        0.5
heavy_industry,                    18,       None,        0.5,        0.0
dense_trees,                        7,       None,        4.0,        0.8
scattered_trees,                   18,       None,        2.0,        0.5
bush_scrub,                        16,       None,        1.0,        0.1
low_plants,                        16,       None,        1.0,        0.1
bare_rock_or_paved,                 1,       None,        0.0,        0.0
bare_soil_or_sand,                  1,       None,        0.0,        0.0
water,                           None,          1,       None,       None
