variable                                         ,minimum     ,default ,maximum    ,comment
bad_scale                                        ,0.0         ,None    ,1.0        ,
bridge_depth                                     ,0.0         ,3.0     ,600.0      ,
bridges_2d                                       ,0.0         ,None    ,600.0      ,
bridges_id                                       ,-2147483647 ,None    ,2147483647 ,
building_albedo_type                             ,0           ,None    ,42         ,
building_emissivity                              ,0.0         ,None    ,1.0        ,
building_fraction                                ,0.0         ,None    ,1.0        ,
building_general_pars_height_gfl                 ,0.0         ,None    ,30.0       ,m
building_general_pars_green_type_roof            ,1.0         ,None    ,2.0        ,1: intensive  2: extensive
building_heat_capacity_wall                      ,0.001e6     ,None    ,5.0e6      ,J/m³K insulation and metal
building_heat_capacity_window                    ,1.0e6       ,None    ,3.0e6      ,J/m³K no separate gas layers in PALM
building_heat_capacity_green                     ,0.1e6       ,None    ,5.0e6      ,J/m³K plants and water retention material
building_heat_conductivity_wall                  ,0.001       ,None    ,500.0      ,W/mK insulation and metal
building_heat_conductivity_window                ,0.01        ,None    ,1.0        ,W/mK no separate gas layers in PALM
building_heat_conductivity_green                 ,0.1         ,None    ,5.0        ,W/mK plants and soil
building_indoor_pars_indoor_temperature_summer   ,260         ,None    ,330        ,K
building_indoor_pars_indoor_temperature_winter   ,250         ,None    ,320        ,K
building_indoor_pars_shading_window              ,0.0         ,None    ,1.0        ,shading factor
building_indoor_pars_g_window                    ,0.0         ,None    ,1.0        ,solar heat gain coefficient g
building_indoor_pars_u_window                    ,0.1         ,None    ,10         ,W/m²K window heat transfer coefficient
building_indoor_pars_airflow_unoccupied          ,0.0         ,None    ,10.0       ,1/h air exchange rate unoccupied
building_indoor_pars_airflow_occupied            ,0.0         ,None    ,10.0       ,1/h additional air exchange rate occupied
building_indoor_pars_heat_recovery_efficiency    ,0.0         ,None    ,1.0        ,heat recovery efficiency eta
building_indoor_pars_effective_surface           ,0.0         ,None    ,5.0        ,m²/m² dynamic parameter effective surface area
building_indoor_pars_inner_heat_storage          ,0.0         ,None    ,1000000.0  ,J/(m²*K) dynamic parameter inner heatstorage
building_indoor_pars_ratio_surface_floor         ,0.0         ,None    ,10.0       ,ratio internal surface/floor area
building_indoor_pars_heating_capacity_max        ,0.0         ,None    ,500.0      ,W/m² Max. Heating heat flux per netto floor area (positive)
building_indoor_pars_cooling_capacity_max        ,-500.0      ,None    ,0.0        ,W/m² Max. Cooling heat flux per netto floor area (negative)
building_indoor_pars_heat_gain_high              ,0.0         ,None    ,500.0      ,W/m² additional internal heat gains dependent on occupancy of the room
building_indoor_pars_heat_gain_low               ,0.0         ,None    ,500.0      ,W/m² basic internal heat gains without occupancy of the room
building_indoor_pars_height_storey               ,0.0         ,None    ,30.0       ,m storey height
building_indoor_pars_height_ceiling_construction ,0.0         ,None    ,5.0        ,m ceiling construction height
building_indoor_pars_heating_factor              ,-5.0        ,None    ,1.         ,anthropogenic heat output factor for heating
building_indoor_pars_cooling_factor              ,0.          ,None    ,5.         ,anthropogenic heat output factor for cooling
building_lai                                     ,0.0         ,None    ,20.0       ,
building_id                                      ,-2147483647 ,None    ,2147483647 ,
building_roughness_length                        ,0.0001      ,None    ,0.1        ,m
building_roughness_length_qh                     ,0.0001      ,None    ,0.1        ,m
building_thickness                               ,0.0001      ,None    ,1.0        ,m
building_transmissivity                          ,0.0         ,None    ,1.0        ,
building_type                                    ,1           ,2       ,7          ,
buildings_2d                                     ,0.0         ,None    ,900.0      ,
color_r                                          ,0           ,None    ,255        ,
color_g                                          ,0           ,None    ,255        ,
color_b                                          ,0           ,None    ,255        ,
dz                                               ,0           ,None    ,100        ,
input_lower_left_x                               ,0           ,None    ,1000000    ,
input_lower_left_y                               ,0           ,None    ,1000000    ,
lad_alpha                                        ,0.0         ,5.0     ,25.0       ,
lad_beta                                         ,0.0         ,3.0     ,25.0       ,
lad_z_max_rel                                    ,0.0         ,0.7     ,1.0        ,
lai                                              ,0.0         ,None    ,20.0       ,
lai_high_vegetation_default                      ,0.0         ,6.0     ,20.0       ,
lai_low_vegetation_default                       ,0.0         ,1.0     ,20.0       ,
lai_roof_extensive                               ,0.0         ,0.8     ,20.0       ,
lai_roof_intensive                               ,0.0         ,2.5     ,20.0       ,
lai_tree_lower_threshold                         ,0.0         ,0.0     ,20.0       ,
lcz                                              ,1           ,None    ,17         ,
lower_left_x                                     ,0           ,None    ,100000     ,
lower_left_y                                     ,0           ,None    ,100000     ,
nx                                               ,1           ,None    ,100000     ,
ny                                               ,1           ,None    ,100000     ,
origin_lat                                       ,-90.0       ,None    ,90.0       ,
origin_lon                                       ,-180.0      ,None    ,180.0      ,
patch_height                                     ,0.0         ,None    ,120.0      ,
patch_height_default                             ,0.0         ,10.0    ,120.0      ,
patch_type                                       ,0           ,0       ,86         ,
pavement_type                                    ,0           ,1       ,15         ,
pixel_size                                       ,0.0         ,None    ,1000.0     ,
rotation_angle                                   ,0.0         ,0.0     ,360.0      ,
soil_type                                        ,1           ,3       ,6          ,
street_crossings                                 ,0           ,1       ,1          ,
street_type                                      ,1           ,1       ,19         ,
tree_crown_diameter                              ,0.0         ,None    ,65.0       ,
tree_crown_ratio                                 ,0.1         ,None    ,10.0        ,
tree_height                                      ,0.0         ,None    ,120.0      ,
tree_id                                          ,-2147483647 ,None    ,2147483647 ,
tree_shape                                       ,1           ,None    ,6          ,
tree_trunk_diameter                              ,0.0         ,None    ,15.0       ,
tree_type                                        ,0           ,0       ,86         ,
udir                                             ,-180.0      ,None    ,180.0      ,
vegetation_height                                ,0.0         ,None    ,120.0      ,
vegetation_on_roofs                              ,0.0         ,None    ,1.0        ,
vegetation_type                                  ,1           ,3       ,18         ,
vegetation_type_below_trees                      ,1           ,3       ,18         ,
water_temperature                                ,265.0       ,None    ,373.15     ,
water_type                                       ,0           ,1       ,5          ,
z_uhl                                            ,0.0         ,None    ,900.0      ,
zt                                               ,-100.0      ,0       ,9000.0     ,
